date,location,AQI,dayofweek,is_weekend
2025-06-25,朝阳市,116,2,False
2025-06-26,朝阳市,106,3,False
2025-06-27,朝阳市,74,4,False
2025-06-28,朝阳市,42,5,True
2025-06-29,朝阳市,63,6,True
2025-06-30,朝阳市,65,0,False
2025-07-01,朝阳市,45,1,False
2025-07-02,朝阳市,70,2,False
2025-07-03,朝阳市,40,3,False
2025-06-20,葫芦岛市,45,4,False
2025-06-21,葫芦岛市,61,5,True
2025-06-22,葫芦岛市,80,6,True
2025-06-23,葫芦岛市,131,0,False
2025-06-24,葫芦岛市,104,1,False
2025-06-25,葫芦岛市,85,2,False
2025-06-26,葫芦岛市,74,3,False
2025-06-27,葫芦岛市,50,4,False
2025-06-28,葫芦岛市,67,5,True
2025-06-29,葫芦岛市,54,6,True
2025-06-30,葫芦岛市,56,0,False
2025-07-01,葫芦岛市,57,1,False
2025-07-02,葫芦岛市,47,2,False
2025-07-03,葫芦岛市,47,3,False
