time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,location
2025-06-25,33.9,21.7,0.0,8.4,阜新
2025-06-26,33.8,22.2,0.0,13.1,阜新
2025-06-27,24.4,21.1,7.8,15.5,阜新
2025-06-28,27.5,19.8,0.9,11.5,阜新
2025-06-29,28.5,21.0,1.0,20.3,阜新
2025-06-30,27.6,21.8,2.2,17.0,阜新
2025-07-01,28.1,22.4,3.1,20.5,阜新
2025-07-02,30.8,21.9,0.0,19.2,阜新
2025-07-03,24.6,22.9,,17.2,阜新
2025-06-20,26.8,19.1,1.1,17.2,辽阳
2025-06-21,28.4,16.6,0.0,16.0,辽阳
2025-06-22,33.3,19.3,0.0,13.9,辽阳
2025-06-23,37.0,22.0,0.0,14.5,辽阳
2025-06-24,37.3,22.7,0.0,15.0,辽阳
2025-06-25,34.8,23.9,0.0,12.3,辽阳
2025-06-26,35.5,23.8,0.0,13.7,辽阳
2025-06-27,27.4,21.7,21.4,9.0,辽阳
2025-06-28,28.0,21.1,1.5,11.2,辽阳
2025-06-29,29.2,21.5,3.8,17.4,辽阳
2025-06-30,27.0,22.6,30.1,19.8,辽阳
2025-07-01,30.6,22.6,11.6,18.0,辽阳
2025-07-02,31.1,23.6,0.9,16.2,辽阳
2025-07-03,24.6,23.5,,12.9,辽阳
2025-06-20,27.3,19.0,1.3,17.6,盘锦
2025-06-21,29.3,16.8,0.0,14.5,盘锦
2025-06-22,32.9,20.0,0.0,11.5,盘锦
2025-06-23,33.5,19.7,0.0,16.3,盘锦
2025-06-24,34.3,21.5,0.0,12.9,盘锦
2025-06-25,34.3,20.8,0.0,11.9,盘锦
2025-06-26,32.3,22.0,0.0,15.5,盘锦
2025-06-27,25.5,21.7,9.4,14.8,盘锦
2025-06-28,28.1,21.4,0.6,14.3,盘锦
2025-06-29,29.2,22.1,2.5,20.6,盘锦
2025-06-30,26.6,22.5,15.0,19.5,盘锦
2025-07-01,28.8,23.4,1.8,23.9,盘锦
2025-07-02,29.9,23.4,0.2,20.0,盘锦
2025-07-03,24.7,24.2,,15.7,盘锦
2025-06-20,25.5,17.7,8.9,17.6,铁岭
2025-06-21,26.0,15.4,0.3,17.0,铁岭
2025-06-22,30.5,17.7,0.0,13.3,铁岭
2025-06-23,33.5,20.6,0.0,15.3,铁岭
2025-06-24,34.9,21.7,0.0,14.4,铁岭
2025-06-25,34.0,22.2,0.0,14.0,铁岭
2025-06-26,33.2,22.3,0.0,10.9,铁岭
2025-06-27,25.5,21.9,18.8,13.9,铁岭
2025-06-28,27.6,20.8,2.4,13.7,铁岭
2025-06-29,29.7,21.4,3.6,19.9,铁岭
2025-06-30,25.5,21.8,20.2,16.0,铁岭
2025-07-01,30.4,22.2,14.2,20.1,铁岭
2025-07-02,29.9,23.1,1.1,20.1,铁岭
2025-07-03,26.0,23.9,,16.6,铁岭
2025-06-20,28.4,16.6,15.7,20.6,朝阳
2025-06-21,29.3,15.8,0.0,21.3,朝阳
2025-06-22,32.7,18.0,0.0,9.3,朝阳
2025-06-23,37.3,18.7,0.0,19.7,朝阳
2025-06-24,37.0,19.8,0.0,19.5,朝阳
2025-06-25,36.4,20.9,0.0,17.9,朝阳
2025-06-26,35.4,22.3,0.0,19.0,朝阳
2025-06-27,24.9,21.0,7.4,11.9,朝阳
2025-06-28,28.6,20.5,1.3,15.2,朝阳
2025-06-29,29.1,20.9,0.8,19.7,朝阳
2025-06-30,29.4,22.0,1.5,16.6,朝阳
2025-07-01,29.0,22.7,5.8,16.7,朝阳
2025-07-02,33.7,20.8,0.0,16.2,朝阳
2025-07-03,24.9,23.5,,11.1,朝阳
2025-06-20,28.1,19.7,0.6,18.1,葫芦岛
2025-06-21,28.9,16.8,0.0,16.4,葫芦岛
2025-06-22,30.1,20.9,0.0,14.4,葫芦岛
2025-06-23,28.7,19.3,0.0,16.0,葫芦岛
2025-06-24,28.6,20.5,0.0,14.8,葫芦岛
2025-06-25,29.2,19.8,0.0,16.9,葫芦岛
2025-06-26,29.5,20.9,0.0,17.0,葫芦岛
2025-06-27,23.3,21.4,11.3,13.7,葫芦岛
2025-06-28,26.1,21.0,1.5,13.4,葫芦岛
2025-06-29,26.0,20.9,2.1,18.7,葫芦岛
2025-06-30,26.2,21.6,5.8,17.7,葫芦岛
2025-07-01,26.4,22.4,3.8,24.2,葫芦岛
2025-07-02,28.8,22.8,0.0,17.9,葫芦岛
2025-07-03,23.6,22.8,,12.6,葫芦岛
